location,country,scam_name,description,how_to_avoid,what_to_do_if_it_happens,combined_text
Nairobi,Kenya,Fake Taxi,Unofficial taxis approach tourists at JKIA airport and malls quoting very high fares or taking long routes to inflate the bill,Use Uber Bolt or Little Cab apps always. Pre-book airport transfers through your hotel,If you realise mid journey stay calm and insist on being dropped at your destination. Note the plate number,"Scam warning in Nairobi, Kenya: Fake Taxi. Description: Unofficial taxis approach tourists at JKIA airport and malls quoting very high fares or taking long routes to inflate the bill. How to avoid: Use Uber Bolt or Little Cab apps always. Pre-book airport transfers through your hotel. What to do: If you realise mid journey stay calm and insist on being dropped at your destination. Note the plate number."
Nairobi,Kenya,Friendship Scam,A friendly local approaches you claims to recognise you and eventually asks for money food or to visit a shop where they earn commission,Politely decline conversations that feel overly familiar or that move toward requests for money or shopping,Walk away calmly. Do not feel guilty. These are practised approaches,"Scam warning in Nairobi, Kenya: Friendship Scam. Description: A friendly local approaches you claims to recognise you and eventually asks for money food or to visit a shop where they earn commission. How to avoid: Politely decline conversations that feel overly familiar or that move toward requests for money or shopping. What to do: Walk away calmly. Do not feel guilty. These are practised approaches."
Nairobi,Kenya,Fake Police Officer,Someone approaches claiming to be a plainclothes police officer asking to inspect your money or passport for counterfeit or immigration checks,Real police rarely approach tourists this way. Ask to go to the nearest police station together to verify,Do not hand over your passport or wallet. Ask for their badge number and insist on going to a station,"Scam warning in Nairobi, Kenya: Fake Police Officer. Description: Someone approaches claiming to be a plainclothes police officer asking to inspect your money or passport for counterfeit or immigration checks. How to avoid: Real police rarely approach tourists this way. Ask to go to the nearest police station together to verify. What to do: Do not hand over your passport or wallet. Ask for their badge number and insist on going to a station."
Nairobi,Kenya,CBD Pickpocketing,Crowded areas like Tom Mboya Street River Road and bus stations are hotspots for pickpockets working in teams,Keep phone and wallet in front pockets or a crossbody bag. Avoid showing expensive phones in busy streets,If pickpocketed report to police for an insurance report. Cancel cards immediately,"Scam warning in Nairobi, Kenya: CBD Pickpocketing. Description: Crowded areas like Tom Mboya Street River Road and bus stations are hotspots for pickpockets working in teams. How to avoid: Keep phone and wallet in front pockets or a crossbody bag. Avoid showing expensive phones in busy streets. What to do: If pickpocketed report to police for an insurance report. Cancel cards immediately."
Mombasa,Kenya,Beach Boys,Persistent touts on Mombasa and Diani beaches offering tours boat rides craft and services often following tourists and becoming aggressive if refused,Firmly but politely say no once and keep walking. Do not engage in long conversations,If someone becomes aggressive move toward your hotel or a busy area. Report to hotel security,"Scam warning in Mombasa, Kenya: Beach Boys. Description: Persistent touts on Mombasa and Diani beaches offering tours boat rides craft and services often following tourists and becoming aggressive if refused. How to avoid: Firmly but politely say no once and keep walking. Do not engage in long conversations. What to do: If someone becomes aggressive move toward your hotel or a busy area. Report to hotel security."
Diani,Kenya,Overpriced Craft Market,Craft sellers quote extremely inflated prices expecting tourists not to bargain leading to overpaying if you accept the first price,Always counteroffer at 30 percent of the asking price and work up from there. Walk away if price is not right,Part of the local culture. Bargaining is expected and respected. Never feel obligated to buy,"Scam warning in Diani, Kenya: Overpriced Craft Market. Description: Craft sellers quote extremely inflated prices expecting tourists not to bargain leading to overpaying if you accept the first price. How to avoid: Always counteroffer at 30 percent of the asking price and work up from there. Walk away if price is not right. What to do: Part of the local culture. Bargaining is expected and respected. Never feel obligated to buy."
Diani,Kenya,Quad Bike Scam,Quad bike hire companies damage deposits claiming pre-existing damage was caused by the customer to withhold large deposits,Photograph and video the quad bike thoroughly before and after. Use only recommended operators from your hotel,Show your photos as evidence. Dispute with your credit card company if deposit wrongly withheld,"Scam warning in Diani, Kenya: Quad Bike Scam. Description: Quad bike hire companies damage deposits claiming pre-existing damage was caused by the customer to withhold large deposits. How to avoid: Photograph and video the quad bike thoroughly before and after. Use only recommended operators from your hotel. What to do: Show your photos as evidence. Dispute with your credit card company if deposit wrongly withheld."
Maasai Mara,Kenya,Maasai Village Scam,Unofficial Maasai village visits where entrance fees are charged and then aggressive upselling of crafts occurs inside,Book cultural visits only through your lodge which uses vetted genuine community partnerships,If uncomfortable leave immediately. Your lodge can intervene on your behalf,"Scam warning in Maasai Mara, Kenya: Maasai Village Scam. Description: Unofficial Maasai village visits where entrance fees are charged and then aggressive upselling of crafts occurs inside. How to avoid: Book cultural visits only through your lodge which uses vetted genuine community partnerships. What to do: If uncomfortable leave immediately. Your lodge can intervene on your behalf."
Nairobi,Kenya,Charity Scam,Someone approaches with a clipboard and an emotional story about orphans hospitals or schools asking for cash donations,Legitimate charities do not solicit on the street. If you want to donate research reputable organisations,Decline politely and keep walking. Do not feel guilty,"Scam warning in Nairobi, Kenya: Charity Scam. Description: Someone approaches with a clipboard and an emotional story about orphans hospitals or schools asking for cash donations. How to avoid: Legitimate charities do not solicit on the street. If you want to donate research reputable organisations. What to do: Decline politely and keep walking. Do not feel guilty."
Zanzibar,Tanzania,Spice Tour Overcharging,Unofficial spice tour guides approach tourists offering tours at low prices then demand much higher payment at the end,Book spice tours only through your hotel or a licensed tour operator. Agree on total price upfront in writing,Refuse to pay more than agreed. Have the original agreed price saved as a message or note,"Scam warning in Zanzibar, Tanzania: Spice Tour Overcharging. Description: Unofficial spice tour guides approach tourists offering tours at low prices then demand much higher payment at the end. How to avoid: Book spice tours only through your hotel or a licensed tour operator. Agree on total price upfront in writing. What to do: Refuse to pay more than agreed. Have the original agreed price saved as a message or note."
