city,country,transport_type,name,description,approximate_cost,how_to_use,app_available,tips,combined_text
Nairobi,Kenya,Ridehailing,Uber,Most reliable ridehailing app in Nairobi. Widely available across the city,300-1500 KES depending on distance,Download Uber app and book from your location,Yes - Uber app,Surge pricing during rush hour 7-9am and 5-8pm. Always confirm the driver plate before entering,"Transport in Nairobi, Kenya: Uber. Type: Ridehailing. Description: Most reliable ridehailing app in Nairobi. Widely available across the city. Cost: 300-1500 KES depending on distance. How to use: Download Uber app and book from your location. Tips: Surge pricing during rush hour 7-9am and 5-8pm. Always confirm the driver plate before entering."
Nairobi,Kenya,Ridehailing,Bolt,Cheaper alternative to Uber with good coverage in Nairobi,250-1200 KES depending on distance,Download Bolt app and book from your location,Yes - Bolt app,Often cheaper than Uber. Drivers may call to confirm location so have a local number,"Transport in Nairobi, Kenya: Bolt. Type: Ridehailing. Description: Cheaper alternative to Uber with good coverage in Nairobi. Cost: 250-1200 KES depending on distance. How to use: Download Bolt app and book from your location. Tips: Often cheaper than Uber. Drivers may call to confirm location so have a local number."
Nairobi,Kenya,Ridehailing,Little Cab,Kenyan owned ridehailing app with good driver coverage in Nairobi,280-1300 KES depending on distance,Download Little app and book,Yes - Little app,Supports Mpesa payment which is convenient if you have a Kenyan line,"Transport in Nairobi, Kenya: Little Cab. Type: Ridehailing. Description: Kenyan owned ridehailing app with good driver coverage in Nairobi. Cost: 280-1300 KES depending on distance. How to use: Download Little app and book. Tips: Supports Mpesa payment which is convenient if you have a Kenyan line."
Nairobi,Kenya,Motorcycle,Uber Boda,Motorcycle taxis booked through the Uber app. Fast for short distances in traffic,150-400 KES,Book through Uber app and select Boda option,Yes - Uber app,Always wear the helmet provided. Not recommended for long distances or at night,"Transport in Nairobi, Kenya: Uber Boda. Type: Motorcycle. Description: Motorcycle taxis booked through the Uber app. Fast for short distances in traffic. Cost: 150-400 KES. How to use: Book through Uber app and select Boda option. Tips: Always wear the helmet provided. Not recommended for long distances or at night."
Nairobi,Kenya,Matatu,Matatu,Public minibuses that are the main mode of transport for locals. Cheap but crowded,30-100 KES per trip,Board at designated stages. Pay conductor on board,No,Keep valuables hidden. Can be overcrowded during rush hour. Routes can be confusing for first timers,"Transport in Nairobi, Kenya: Matatu. Type: Matatu. Description: Public minibuses that are the main mode of transport for locals. Cheap but crowded. Cost: 30-100 KES per trip. How to use: Board at designated stages. Pay conductor on board. Tips: Keep valuables hidden. Can be overcrowded during rush hour. Routes can be confusing for first timers."
Nairobi,Kenya,Taxi,Yellow Cab,Traditional metered taxis available at hotels and taxi ranks,800-3000 KES depending on distance,Hail from hotel or book through hotel concierge,No,Always agree on the price before getting in if meter is not used. Hotels can arrange trusted taxis,"Transport in Nairobi, Kenya: Yellow Cab. Type: Taxi. Description: Traditional metered taxis available at hotels and taxi ranks. Cost: 800-3000 KES depending on distance. How to use: Hail from hotel or book through hotel concierge. Tips: Always agree on the price before getting in if meter is not used. Hotels can arrange trusted taxis."
Nairobi,Kenya,Bus,KBS Bus,Public buses covering major routes in Nairobi. Very cheap but slow,20-50 KES,Board at designated bus stops,No,Not recommended for tourists with luggage. Can be slow during peak hours,"Transport in Nairobi, Kenya: KBS Bus. Type: Bus. Description: Public buses covering major routes in Nairobi. Very cheap but slow. Cost: 20-50 KES. How to use: Board at designated bus stops. Tips: Not recommended for tourists with luggage. Can be slow during peak hours."
Mombasa,Kenya,Ridehailing,Uber,Uber operates in Mombasa covering the island and mainland areas,300-1200 KES,Download Uber app,Yes - Uber app,Coverage can be limited on Mombasa Island late at night. Tuk tuks are a fun alternative for short trips,"Transport in Mombasa, Kenya: Uber. Type: Ridehailing. Description: Uber operates in Mombasa covering the island and mainland areas. Cost: 300-1200 KES. How to use: Download Uber app. Tips: Coverage can be limited on Mombasa Island late at night. Tuk tuks are a fun alternative for short trips."
Mombasa,Kenya,Tuk Tuk,Tuk Tuk,Three wheeled motorised rickshaws popular for short distances on Mombasa Island,100-300 KES,Negotiate price before boarding,No,Agree on price before getting in. Great for exploring the old town. Not suitable for long distances,"Transport in Mombasa, Kenya: Tuk Tuk. Type: Tuk Tuk. Description: Three wheeled motorised rickshaws popular for short distances on Mombasa Island. Cost: 100-300 KES. How to use: Negotiate price before boarding. Tips: Agree on price before getting in. Great for exploring the old town. Not suitable for long distances."
Mombasa,Kenya,Ferry,Likoni Ferry,Free government ferry connecting Mombasa Island to the South Coast mainland,Free for pedestrians,Walk on at Likoni or Mombasa Island ferry points,No,Can be very crowded during rush hour. Keep valuables safe in crowds. Runs 24 hours,"Transport in Mombasa, Kenya: Likoni Ferry. Type: Ferry. Description: Free government ferry connecting Mombasa Island to the South Coast mainland. Cost: Free for pedestrians. How to use: Walk on at Likoni or Mombasa Island ferry points. Tips: Can be very crowded during rush hour. Keep valuables safe in crowds. Runs 24 hours."
