hotel_name,location,county,country,description,price_range,amenities,room_types,rating,nearby_attractions,category,source_url,combined_text
Sarova Stanley,Nairobi,Nairobi,Kenya,Historic luxury hotel in the heart of Nairobi CBD established in 1902,150-400 USD,WiFi|Pool|Restaurant|Gym|Spa|Bar|Parking,Standard|Deluxe|Suite,4.5,Nairobi National Park|CBD Shopping,Luxury,https://www.sarovahotels.com,"Hotel: Sarova Stanley. Location: Nairobi, Kenya. Category: Luxury. Description: Historic luxury hotel in the heart of Nairobi CBD established in 1902. Price range: 150-400 USD. Amenities: WiFi, Pool, Restaurant, Gym, Spa, Bar, Parking. Room types: Standard, Deluxe, Suite. Rating: 4.5 out of 5. Nearby attractions: Nairobi National Park, CBD Shopping."
Villa Rosa Kempinski,Nairobi,Nairobi,Kenya,Five star luxury hotel offering world class amenities in Nairobi,200-600 USD,WiFi|Pool|Restaurant|Gym|Spa|Bar|Conference|Valet,Standard|Deluxe|Suite|Presidential,4.8,UN Complex|Westgate Mall,Luxury,https://www.kempinski.com,"Hotel: Villa Rosa Kempinski. Location: Nairobi, Kenya. Category: Luxury. Description: Five star luxury hotel offering world class amenities in Nairobi. Price range: 200-600 USD. Amenities: WiFi, Pool, Restaurant, Gym, Spa, Bar, Conference, Valet. Room types: Standard, Deluxe, Suite, Presidential. Rating: 4.8 out of 5. Nearby attractions: UN Complex, Westgate Mall."
Radisson Blu Nairobi,Nairobi,Nairobi,Kenya,Modern upscale hotel near Nairobi CBD with excellent business facilities,120-350 USD,WiFi|Pool|Restaurant|Gym|Spa|Bar|Conference,Standard|Deluxe|Suite,4.4,Uhuru Park|City Market,Luxury,https://www.radissonblu.com,"Hotel: Radisson Blu Nairobi. Location: Nairobi, Kenya. Category: Luxury. Description: Modern upscale hotel near Nairobi CBD with excellent business facilities. Price range: 120-350 USD. Amenities: WiFi, Pool, Restaurant, Gym, Spa, Bar, Conference. Room types: Standard, Deluxe, Suite. Rating: 4.4 out of 5. Nearby attractions: Uhuru Park, City Market."
Tribe Hotel,Nairobi,Nairobi,Kenya,Boutique luxury hotel in the leafy suburbs of Gigiri near embassies,150-400 USD,WiFi|Pool|Restaurant|Bar|Spa|Gym,Standard|Deluxe|Suite,4.6,Village Market|UN Gigiri,Boutique,https://www.tribe-hotel.com,"Hotel: Tribe Hotel. Location: Nairobi, Kenya. Category: Boutique. Description: Boutique luxury hotel in the leafy suburbs of Gigiri near embassies. Price range: 150-400 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Gym. Room types: Standard, Deluxe, Suite. Rating: 4.6 out of 5. Nearby attractions: Village Market, UN Gigiri."
Sankara Nairobi,Nairobi,Nairobi,Kenya,Contemporary luxury hotel in Westlands with rooftop pool and fine dining,130-380 USD,WiFi|Pool|Restaurant|Gym|Spa|Bar|Rooftop,Standard|Deluxe|Suite,4.5,Westgate Mall|Sarit Centre,Luxury,https://www.sankara.com,"Hotel: Sankara Nairobi. Location: Nairobi, Kenya. Category: Luxury. Description: Contemporary luxury hotel in Westlands with rooftop pool and fine dining. Price range: 130-380 USD. Amenities: WiFi, Pool, Restaurant, Gym, Spa, Bar, Rooftop. Room types: Standard, Deluxe, Suite. Rating: 4.5 out of 5. Nearby attractions: Westgate Mall, Sarit Centre."
Crowne Plaza Nairobi,Nairobi,Nairobi,Kenya,International business hotel near Nairobi CBD with large conference facilities,100-300 USD,WiFi|Pool|Restaurant|Gym|Bar|Conference|Parking,Standard|Deluxe|Suite,4.2,Nairobi National Museum|CBD,Business,https://www.ihg.com,"Hotel: Crowne Plaza Nairobi. Location: Nairobi, Kenya. Category: Business. Description: International business hotel near Nairobi CBD with large conference facilities. Price range: 100-300 USD. Amenities: WiFi, Pool, Restaurant, Gym, Bar, Conference, Parking. Room types: Standard, Deluxe, Suite. Rating: 4.2 out of 5. Nearby attractions: Nairobi National Museum, CBD."
Ole Sereni,Nairobi,Nairobi,Kenya,Unique hotel overlooking Nairobi National Park with wildlife views from the pool,150-400 USD,WiFi|Pool|Restaurant|Bar|Gym|Game Drives,Standard|Deluxe|Suite,4.7,Nairobi National Park|Wilson Airport,Luxury,https://www.olesereni.com,"Hotel: Ole Sereni. Location: Nairobi, Kenya. Category: Luxury. Description: Unique hotel overlooking Nairobi National Park with wildlife views from the pool. Price range: 150-400 USD. Amenities: WiFi, Pool, Restaurant, Bar, Gym, Game Drives. Room types: Standard, Deluxe, Suite. Rating: 4.7 out of 5. Nearby attractions: Nairobi National Park, Wilson Airport."
Fairmont The Norfolk,Nairobi,Nairobi,Kenya,Legendary hotel dating back to 1904 in the heart of Nairobi,180-500 USD,WiFi|Pool|Restaurant|Bar|Spa|Gym|Garden,Standard|Deluxe|Suite|Cottage,4.6,Nairobi National Museum|University of Nairobi,Luxury,https://www.fairmont.com,"Hotel: Fairmont The Norfolk. Location: Nairobi, Kenya. Category: Luxury. Description: Legendary hotel dating back to 1904 in the heart of Nairobi. Price range: 180-500 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Gym, Garden. Room types: Standard, Deluxe, Suite, Cottage. Rating: 4.6 out of 5. Nearby attractions: Nairobi National Museum, University of Nairobi."
Hilton Nairobi,Nairobi,Nairobi,Kenya,Well located city centre hotel with excellent facilities for business travelers,90-250 USD,WiFi|Pool|Restaurant|Gym|Bar|Conference,Standard|Deluxe|Suite,4.1,Nairobi CBD|Parliament,Business,https://www.hilton.com,"Hotel: Hilton Nairobi. Location: Nairobi, Kenya. Category: Business. Description: Well located city centre hotel with excellent facilities for business travelers. Price range: 90-250 USD. Amenities: WiFi, Pool, Restaurant, Gym, Bar, Conference. Room types: Standard, Deluxe, Suite. Rating: 4.1 out of 5. Nearby attractions: Nairobi CBD, Parliament."
Eka Hotel Nairobi,Nairobi,Nairobi,Kenya,Modern business hotel along Mombasa Road with contemporary design,80-200 USD,WiFi|Pool|Restaurant|Gym|Bar|Conference|Parking,Standard|Deluxe|Suite,4.3,JKIA Airport|Nairobi National Park,Business,https://www.ekahotel.com,"Hotel: Eka Hotel Nairobi. Location: Nairobi, Kenya. Category: Business. Description: Modern business hotel along Mombasa Road with contemporary design. Price range: 80-200 USD. Amenities: WiFi, Pool, Restaurant, Gym, Bar, Conference, Parking. Room types: Standard, Deluxe, Suite. Rating: 4.3 out of 5. Nearby attractions: JKIA Airport, Nairobi National Park."
